Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
410.000000000| 93.896420000| 55.635606743| 12.651649769| 2.500000000| 38.200000763| 0.600000024| 17| 1| 160652.000000000| 0| -0.492604166
420.000000000| 95.030960000| 55.635686115| 12.651576138| 2.500000000| 38.200000763| 0.600000024| 17| 1| 160653.000000000| 0| -0.471352190
430.000000000| 96.180190000| 55.635765241| 12.651506058| 2.500000000| 38.200000763| 0.600000024| 18| 1| 160654.000000000| 0| -0.459057599
440.000000000| 97.350650000| 55.635845211| 12.651432773| 2.500000000| 38.200000763| 0.600000024| 18| 1| 160655.000000000| 0| -0.481025815
450.000000000| 98.545560000| 55.635926810| 12.651364121| 2.799999952| 38.200000763| 0.600000024| 18| 1| 160657.000000000| 0| -0.466816753
460.000000000| 99.741420000| 55.636007904| 12.651289836| 2.700000048| 38.200000763| 0.600000024| 18| 1| 160658.000000000| 0| -0.491972208
470.000000000| 100.925530000| 55.636088223| 12.651215107| 2.700000048| 38.200000763| 0.600000024| 18| 1| 160659.000000000| 0| -0.472316802
480.000000000| 102.048760000| 55.636167972| 12.651141745| 2.700000048| 38.200000763| 0.600000024| 18| 1| 160700.000000000| 0| -0.482964426
490.000000000| 103.127510000| 55.636247670| 12.651067430| 2.599999905| 38.200000763| 0.600000024| 17| 1| 160701.000000000| 0| -0.483432144
500.000000000| 104.170130000| 55.636327150| 12.650994478| 2.599999905| 38.200000763| 0.600000024| 17| 1| 160702.000000000| 0| -0.475729436
510.000000000| 105.183340000| 55.636407370| 12.650920930| 2.700000048| 38.200000763| 0.600000024| 18| 1| 160703.000000000| 0| -0.475556195
520.000000000| 106.174990000| 55.636486757| 12.650847036| 2.599999905| 38.200000763| 0.600000024| 18| 1| 160704.000000000| 0| -0.487897247
530.000000000| 107.143860000| 55.636566757| 12.650772871| 2.500000000| 38.200000763| 0.600000024| 18| 1| 160705.000000000| 0| -0.474645734
540.000000000| 108.100720000| 55.636647598| 12.650700112| 2.400000095| 38.200000763| 0.600000024| 17| 1| 160706.000000000| 0| -0.474151999
550.000000000| 109.042700000| 55.636727682| 12.650624664| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160707.000000000| 0| -0.499012142
560.000000000| 109.976790000| 55.636806018| 12.650547384| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160708.000000000| 0| -0.512936652
570.000000000| 110.891400000| 55.636883115| 12.650471136| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160709.000000000| 0| -0.502961099
580.000000000| 111.798530000| 55.636961141| 12.650393788| 2.299999952| 38.200000763| 0.600000024| 17| 1| 160710.000000000| 0| -0.524576426
590.000000000| 112.699150000| 55.637038462| 12.650310700| 2.299999952| 38.200000763| 0.600000024| 17| 1| 160711.000000000| 0| -0.562714219
600.000000000| 113.585420000| 55.637113863| 12.650225873| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160712.000000000| 0| -0.568835914
610.000000000| 114.452330000| 55.637189420| 12.650143727| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160713.000000000| 0| -0.541808963
620.000000000| 115.296970000| 55.637268092| 12.650063374| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160713.000000000| 0| -0.506596684
630.000000000| 116.124050000| 55.637347559| 12.649988716| 2.200000048| 38.200000763| 0.600000024| 17| 1| 160714.000000000| 0| -0.482852876
640.000000000| 116.931700000| 55.637426559| 12.649913685| 2.299999952| 38.200000763| 0.600000024| 16| 1| 160715.000000000| 0| -0.499580801
650.000000000| 117.728400000| 55.637505423| 12.649837681| 2.200000048| 38.200000763| 0.600000024| 16| 1| 160716.000000000| 0| -0.492527157
660.000000000| 118.510230000| 55.637583936| 12.649763227| 1.899999976| 38.200000763| 0.600000024| 16| 1| 160717.000000000| 0| -0.489832133
670.000000000| 119.286310000| 55.637662828| 12.649688260| 1.899999976| 38.200000763| 0.600000024| 16| 1| 160717.000000000| 0| -0.494839281
680.000000000| 120.058700000| 55.637741406| 12.649612643| 1.799999952| 38.200000763| 0.600000024| 16| 1| 160718.000000000| 0| -0.500936866
690.000000000| 120.829650000| 55.637820326| 12.649536615| 1.700000048| 38.200000763| 0.600000024| 16| 1| 160719.000000000| 0| -0.494511336
700.000000000| 121.597350000| 55.637899991| 12.649461006| 1.600000024| 38.200000763| 0.600000024| 16| 1| 160720.000000000| 0| -0.489170998
710.000000000| 122.362560000| 55.637980385| 12.649385865| 1.600000024| 38.200000763| 0.600000024| 16| 1| 160720.000000000| 0| -0.483507782
720.000000000| 123.126260000| 55.638060546| 12.649311969| 1.700000048| 38.200000763| 0.600000024| 16| 1| 160721.000000000| 0| -0.478845745
730.000000000| 123.889130000| 55.638140807| 12.649237434| 1.700000048| 38.200000763| 0.600000024| 16| 1| 160722.000000000| 0| -0.486285150
740.000000000| 124.660010000| 55.638221379| 12.649162105| 1.700000048| 38.200000763| 0.600000024| 17| 1| 160723.000000000| 0| -0.481170058
750.000000000| 125.437620000| 55.638301542| 12.649088594| 1.600000024| 38.200000763| 0.600000024| 17| 1| 160724.000000000| 0| -0.475417823
760.000000000| 126.229490000| 55.638380867| 12.649017053| 1.600000024| 38.200000763| 0.600000024| 17| 1| 160724.000000000| 0| -0.466464132
770.000000000| 127.038630000| 55.638461130| 12.648945995| 1.600000024| 38.200000763| 0.600000024| 17| 1| 160725.000000000| 0| -0.460421711
780.000000000| 127.885210000| 55.638541882| 12.648875349| 1.600000024| 38.200000763| 0.600000024| 17| 1| 160726.000000000| 0| -0.457660049
790.000000000| 128.806090000| 55.638622993| 12.648804168| 1.500000000| 38.200000763| 0.600000024| 17| 1| 160727.000000000| 0| -0.462693244
800.000000000| 129.828350000| 55.638704796| 12.648733753| 1.500000000| 38.200000763| 0.600000024| 17| 1| 160728.000000000| 0| -0.436102837
810.000000000| 130.982320000| 55.638787182| 12.648666789| 1.500000000| 38.200000763| 0.600000024| 18| 1| 160729.000000000| 0| -0.424851894
820.000000000| 132.273410000| 55.638869706| 12.648601823| 1.500000000| 38.200000763| 0.600000024| 18| 1| 160730.000000000| 0| -0.418848068
830.000000000| 133.924160000| 55.638953885| 12.648534765| 1.500000000| 38.200000763| 0.600000024| 18| 1| 160732.000000000| 0| -0.404934496
840.000000000| 147.324590000| 55.639034423| 12.648476379| 2.000000000| 38.200000763| 0.600000024| 18| 1| 160737.000000000| 0| 0.274830997
850.000000000| 150.846760000| 55.639109698| 12.648411152| 4.000000000| 38.200000763| 0.600000024| 18| 1| 160749.000000000| 0| -0.485077620
860.000000000| 153.474080000| 55.639188534| 12.648338308| 4.099999905| 38.200000763| 0.600000024| 18| 1| 160752.000000000| 0| -0.472756863
870.000000000| 155.463160000| 55.639268406| 12.648263329| 4.000000000| 38.200000763| 0.600000024| 18| 1| 160754.000000000| 0| -0.496948034
880.000000000| 157.132420000| 55.639346880| 12.648191043| 3.799999952| 38.200000763| 0.600000024| 17| 1| 160755.000000000| 0| -0.452655017
890.000000000| 158.700310000| 55.639428275| 12.648120823| 3.799999952| 38.200000763| 0.600000024| 17| 1| 160757.000000000| 0| -0.442025870
900.000000000| 160.151660000| 55.639509346| 12.648047304| 3.700000048| 38.200000763| 0.600000024| 18| 1| 160758.000000000| 0| -0.507681549
910.000000000| 161.495550000| 55.639587504| 12.647965482| 3.200000048| 38.200000763| 0.600000024| 18| 1| 160800.000000000| 0| -0.549127102
920.000000000| 162.797700000| 55.639663918| 12.647882470| 3.200000048| 38.200000763| 0.600000024| 18| 1| 160801.000000000| 0| -0.549002588
930.000000000| 164.066590000| 55.639741352| 12.647798880| 3.099999905| 38.200000763| 0.600000024| 18| 1| 160802.000000000| 0| -0.547589600
940.000000000| 165.305790000| 55.639819240| 12.647713405| 2.900000095| 38.200000763| 0.600000024| 18| 1| 160803.000000000| 0| -0.565336764
950.000000000| 166.521770000| 55.639892725| 12.647625903| 2.799999952| 38.200000763| 0.600000024| 18| 1| 160805.000000000| 0| -0.606016338
960.000000000| 167.683980000| 55.639966921| 12.647536526| 2.799999952| 38.200000763| 0.600000024| 18| 1| 160806.000000000| 0| -0.586350381
970.000000000| 168.795090000| 55.640042306| 12.647452677| 2.799999952| 38.200000763| 0.600000024| 18| 1| 160807.000000000| 0| -0.535855949
980.000000000| 169.866340000| 55.640118265| 12.647372732| 2.799999952| 38.200000763| 0.600000024| 17| 1| 160808.000000000| 0| -0.542254806
990.000000000| 170.919330000| 55.640195285| 12.647293128| 2.700000048| 38.200000763| 0.600000024| 17| 1| 160809.000000000| 0| -0.514094889
1000.000000000| 171.946430000| 55.640273147| 12.647214081| 2.599999905| 38.200000763| 0.600000024| 17| 1| 160810.000000000| 0| -0.523203850
1010.000000000| 172.947780000| 55.640351613| 12.647135088| 2.599999905| 38.200000763| 0.600000024| 18| 1| 160811.000000000| 0| -0.511831582
1020.000000000| 173.926590000| 55.640429904| 12.647056695| 2.400000095| 38.200000763| 0.600000024| 18| 1| 160812.000000000| 0| -0.515125871
1030.000000000| 174.879250000| 55.640507099| 12.646980331| 2.299999952| 38.200000763| 0.600000024| 18| 1| 160813.000000000| 0| -0.505340993
1040.000000000| 175.824860000| 55.640585055| 12.646903320| 2.400000095| 38.200000763| 0.600000024| 18| 1| 160814.000000000| 0| -0.513791800
1050.000000000| 176.767340000| 55.640663635| 12.646824776| 2.299999952| 38.200000763| 0.600000024| 18| 1| 160815.000000000| 0| -0.513110042
1060.000000000| 177.708090000| 55.640741952| 12.646746314| 2.200000048| 38.200000763| 0.600000024| 18| 1| 160816.000000000| 0| -0.514847040
1070.000000000| 178.642840000| 55.640820255| 12.646668440| 2.099999905| 38.200000763| 0.600000024| 17| 1| 160817.000000000| 0| -0.505852342
