Distance[m]| Tid[s]| Latitude[dd.dddd]| Longitude[dd.dddd]| Højde[m]| Geoide_højde[m]| DOP| Satellitter| Fixtype| GPStid| Metode| Vcar[rad]
700.000000000| 164.572950000| 55.675679029| 12.576150160| 7.500000000| 38.200000763| 0.699999988| 13| 2| 154254.000000000| 0| 0.966348052
710.000000000| 166.176730000| 55.675730952| 12.576274415| 7.300000191| 38.200000763| 0.699999988| 13| 2| 154255.000000000| 0| 0.898529291
720.000000000| 168.024920000| 55.675794261| 12.576382244| 6.599999905| 38.200000763| 0.699999988| 13| 2| 154257.000000000| 0| 0.610392392
730.000000000| 169.727920000| 55.675870192| 12.576455692| 6.199999809| 38.200000763| 0.699999988| 13| 2| 154259.000000000| 0| 0.446168363
740.000000000| 171.006780000| 55.675947097| 12.576530115| 6.199999809| 38.200000763| 0.699999988| 14| 2| 154300.000000000| 0| 0.546426594
750.000000000| 172.087370000| 55.676021058| 12.576613228| 6.000000000| 38.200000763| 0.699999988| 14| 2| 154301.000000000| 0| 0.585981786
760.000000000| 173.068440000| 55.676094671| 12.576701259| 5.900000095| 38.200000763| 0.699999988| 13| 2| 154302.000000000| 0| 0.589837909
770.000000000| 173.982510000| 55.676168214| 12.576787145| 5.800000191| 38.200000763| 0.699999988| 13| 2| 154303.000000000| 0| 0.577715814
780.000000000| 174.855640000| 55.676242261| 12.576875154| 5.599999905| 38.200000763| 0.699999988| 13| 2| 154304.000000000| 0| 0.618587673
790.000000000| 175.710820000| 55.676312912| 12.576972310| 5.500000000| 38.200000763| 0.699999988| 13| 2| 154305.000000000| 0| 0.698304772
800.000000000| 176.554480000| 55.676379721| 12.577076876| 5.500000000| 38.200000763| 0.699999988| 13| 2| 154306.000000000| 0| 0.742534280
810.000000000| 177.396790000| 55.676445713| 12.577185346| 5.599999905| 38.200000763| 0.699999988| 14| 2| 154307.000000000| 0| 0.742580354
820.000000000| 178.238180000| 55.676513046| 12.577294742| 5.599999905| 38.200000763| 0.699999988| 14| 2| 154307.000000000| 0| 0.741165340
830.000000000| 179.090040000| 55.676578647| 12.577401929| 5.500000000| 38.200000763| 0.699999988| 14| 2| 154308.000000000| 0| 0.739412248
840.000000000| 179.969170000| 55.676647273| 12.577509609| 5.500000000| 38.200000763| 0.699999988| 13| 2| 154309.000000000| 0| 0.718485713
850.000000000| 180.867610000| 55.676715010| 12.577615048| 5.500000000| 38.200000763| 0.699999988| 14| 2| 154310.000000000| 0| 0.723974466
860.000000000| 181.791630000| 55.676781424| 12.577720703| 5.599999905| 38.200000763| 0.800000012| 12| 2| 154311.000000000| 0| 0.744018018
870.000000000| 182.738540000| 55.676845285| 12.577832751| 5.599999905| 38.200000763| 0.800000012| 12| 2| 154312.000000000| 0| 0.829805970
880.000000000| 183.698660000| 55.676902491| 12.577956417| 5.699999809| 38.200000763| 0.800000012| 12| 2| 154313.000000000| 0| 0.929923117
890.000000000| 184.676880000| 55.676954080| 12.578086876| 5.900000095| 38.200000763| 0.800000012| 12| 2| 154314.000000000| 0| 0.977846742
900.000000000| 185.649540000| 55.677004972| 12.578218287| 6.000000000| 38.200000763| 1.000000000| 11| 2| 154315.000000000| 0| 0.960764468
910.000000000| 186.618780000| 55.677056424| 12.578348247| 6.099999905| 38.200000763| 0.800000012| 12| 2| 154316.000000000| 0| 0.961000979
920.000000000| 187.603250000| 55.677106913| 12.578478089| 6.099999905| 38.200000763| 0.800000012| 12| 2| 154317.000000000| 0| 0.976661265
930.000000000| 188.612500000| 55.677155435| 12.578613319| 6.099999905| 38.200000763| 1.100000024| 12| 2| 154318.000000000| 0| 1.048377275
940.000000000| 189.624700000| 55.677198667| 12.578752565| 6.099999905| 38.200000763| 0.800000012| 14| 2| 154319.000000000| 0| 1.077357769
950.000000000| 190.630570000| 55.677239631| 12.578894706| 6.099999905| 38.200000763| 0.800000012| 14| 2| 154320.000000000| 0| 1.118817806
960.000000000| 191.639680000| 55.677276965| 12.579039767| 6.099999905| 38.200000763| 0.800000012| 14| 2| 154321.000000000| 0| 1.160245419
970.000000000| 192.663430000| 55.677311991| 12.579186331| 6.099999905| 38.200000763| 0.699999988| 15| 2| 154322.000000000| 0| 1.176137328
980.000000000| 193.714570000| 55.677347307| 12.579333204| 6.000000000| 38.200000763| 1.100000024| 13| 2| 154323.000000000| 0| 1.158681750
990.000000000| 194.825770000| 55.677380993| 12.579482248| 5.900000095| 38.200000763| 0.800000012| 14| 2| 154324.000000000| 0| 1.241681337
1000.000000000| 196.063290000| 55.677401738| 12.579636966| 5.800000191| 38.200000763| 0.800000012| 14| 2| 154325.000000000| 0| 1.452662230
1010.000000000| 197.346720000| 55.677399622| 12.579793262| 5.500000000| 38.200000763| 0.699999988| 15| 2| 154327.000000000| 0| 1.710134506
1020.000000000| 198.618570000| 55.677375181| 12.579941070| 5.599999905| 38.200000763| 0.800000012| 14| 2| 154328.000000000| 0| 1.980269194
1030.000000000| 199.801740000| 55.677334326| 12.580078644| 5.599999905| 38.200000763| 0.800000012| 14| 2| 154329.000000000| 0| 2.108166456
1040.000000000| 200.869400000| 55.677286771| 12.580210121| 5.599999905| 38.200000763| 0.699999988| 15| 2| 154330.000000000| 0| 2.166005850
1050.000000000| 201.845800000| 55.677235086| 12.580339499| 5.400000095| 38.200000763| 0.699999988| 15| 2| 154331.000000000| 0| 2.211688995
1060.000000000| 202.781830000| 55.677180380| 12.580466898| 5.300000191| 38.200000763| 0.699999988| 15| 2| 154332.000000000| 0| 2.231357574
1070.000000000| 203.690060000| 55.677124494| 12.580591742| 5.300000191| 38.200000763| 0.699999988| 15| 2| 154333.000000000| 0| 2.247129202
1080.000000000| 204.563850000| 55.677067653| 12.580714657| 5.300000191| 38.200000763| 0.699999988| 15| 2| 154334.000000000| 0| 2.267238855
1090.000000000| 205.406780000| 55.677011606| 12.580838612| 5.300000191| 38.200000763| 0.699999988| 15| 2| 154335.000000000| 0| 2.231603384
1100.000000000| 206.222320000| 55.676957264| 12.580965257| 5.300000191| 38.200000763| 0.699999988| 15| 2| 154335.000000000| 0| 2.219143152
1110.000000000| 207.021220000| 55.676903175| 12.581095322| 5.099999905| 38.200000763| 0.699999988| 15| 2| 154336.000000000| 0| 2.214212179
1120.000000000| 207.803070000| 55.676847429| 12.581221504| 5.099999905| 38.200000763| 0.699999988| 15| 2| 154337.000000000| 0| 2.259186745
1130.000000000| 208.584520000| 55.676788695| 12.581343225| 5.000000000| 38.200000763| 0.699999988| 15| 2| 154338.000000000| 0| 2.294751406
1140.000000000| 209.377470000| 55.676727824| 12.581462217| 4.900000095| 38.200000763| 0.600000024| 16| 2| 154339.000000000| 0| 2.318721533
1150.000000000| 210.186970000| 55.676665786| 12.581578248| 4.900000095| 38.200000763| 0.600000024| 16| 2| 154339.000000000| 0| 2.337776661
1160.000000000| 211.004750000| 55.676601870| 12.581693110| 4.800000191| 38.200000763| 0.600000024| 16| 2| 154340.000000000| 0| 2.353000402
1170.000000000| 211.827670000| 55.676538176| 12.581807415| 4.800000191| 38.200000763| 0.600000024| 16| 2| 154341.000000000| 0| 2.348272085
1180.000000000| 212.659080000| 55.676475411| 12.581922401| 4.900000095| 38.200000763| 0.600000024| 16| 2| 154342.000000000| 0| 2.324688435
1190.000000000| 213.499510000| 55.676414423| 12.582040334| 4.900000095| 38.200000763| 0.600000024| 16| 2| 154343.000000000| 0| 2.307416916
1200.000000000| 214.359860000| 55.676354703| 12.582161005| 5.000000000| 38.200000763| 0.600000024| 16| 2| 154344.000000000| 0| 2.267907143
1210.000000000| 215.244780000| 55.676297181| 12.582286381| 5.000000000| 38.200000763| 0.600000024| 16| 2| 154344.000000000| 0| 2.239891291
1220.000000000| 216.145980000| 55.676242638| 12.582413904| 4.900000095| 38.200000763| 0.600000024| 16| 2| 154345.000000000| 0| 2.200196028
1230.000000000| 217.069420000| 55.676192273| 12.582544917| 4.800000191| 38.200000763| 0.600000024| 16| 2| 154346.000000000| 0| 2.151266813
1240.000000000| 218.016110000| 55.676144005| 12.582679003| 4.599999905| 38.200000763| 0.600000024| 16| 2| 154347.000000000| 0| 2.122145891
1250.000000000| 218.986240000| 55.676097821| 12.582815329| 4.400000095| 38.200000763| 0.600000024| 16| 2| 154348.000000000| 0| 2.098792791
1260.000000000| 219.982100000| 55.676054617| 12.582955923| 4.199999809| 38.200000763| 0.600000024| 16| 2| 154349.000000000| 0| 2.043159723
1270.000000000| 221.007060000| 55.676014514| 12.583098853| 4.099999905| 38.200000763| 0.600000024| 16| 2| 154350.000000000| 0| 2.022544384
1280.000000000| 222.060060000| 55.675976699| 12.583242157| 4.000000000| 38.200000763| 0.600000024| 16| 2| 154351.000000000| 0| 1.995868802
1290.000000000| 223.147040000| 55.675940202| 12.583386057| 3.799999952| 38.200000763| 0.600000024| 16| 2| 154352.000000000| 0| 1.992089629
1300.000000000| 224.289910000| 55.675905465| 12.583533011| 3.700000048| 38.200000763| 0.600000024| 16| 2| 154353.000000000| 0| 1.962041616
1310.000000000| 225.552360000| 55.675870107| 12.583680350| 3.500000000| 38.200000763| 0.600000024| 16| 2| 154355.000000000| 0| 1.977464676
1320.000000000| 227.117020000| 55.675833746| 12.583827054| 3.500000000| 38.200000763| 0.600000024| 16| 2| 154356.000000000| 0| 1.996904135
1330.000000000| 230.087830000| 55.675797827| 12.583977027| 3.700000048| 38.200000763| 0.600000024| 16| 2| 154359.000000000| 0| 1.988281131
1340.000000000| 234.447590000| 55.675765736| 12.584095136| 3.799999952| 38.200000763| 0.600000024| 16| 2| 154404.000000000| 0| 1.997450471
