,speed_gm,times
318,39.12,1621497150.432
319,39.18,1621497150.452
320,39.23,1621497150.472
321,39.3,1621497150.492
322,39.35,1621497150.512
323,39.4,1621497150.532
324,38.0,1621497150.5449998
325,39.45,1621497150.552
326,39.49,1621497150.572
327,39.54,1621497150.592
328,39.59,1621497150.612
329,39.65,1621497150.632
330,39.73,1621497150.652
331,39.78,1621497150.672
332,39.81,1621497150.692
333,39.88,1621497150.712
334,38.05,1621497150.724
335,39.94,1621497150.732
336,40.01,1621497150.754
337,40.08,1621497150.772
338,40.1,1621497150.792
339,40.2,1621497150.812
340,40.3,1621497150.832
341,40.31,1621497150.852
342,40.42,1621497150.872
343,40.46,1621497150.892
344,40.54,1621497150.912
345,38.1,1621497150.921
346,40.67,1621497150.932
347,40.7,1621497150.952
348,40.7,1621497150.972
349,40.8,1621497150.994
350,41.16,1621497151.112
351,40.85,1621497151.12
352,41.23,1621497151.132
353,41.29,1621497151.152
354,41.35,1621497151.172
355,41.46,1621497151.192
356,41.52,1621497151.212
357,41.55,1621497151.232
358,41.66,1621497151.252
359,41.72,1621497151.272
360,41.74,1621497151.292
361,41.77,1621497151.312
362,40.9,1621497151.323
363,41.8,1621497151.332
364,41.81,1621497151.352
365,41.85,1621497151.372
366,41.87,1621497151.392
367,41.91,1621497151.412
368,41.93,1621497151.432
369,41.96,1621497151.452
370,42.0,1621497151.472
371,42.05,1621497151.492
372,42.05,1621497151.512
373,40.93,1621497151.523
374,42.07,1621497151.532
375,42.15,1621497151.552
376,42.17,1621497151.572
377,42.21,1621497151.592
378,42.24,1621497151.612
379,42.26,1621497151.632
380,42.32,1621497151.652
381,42.34,1621497151.672
382,42.38,1621497151.692
383,42.41,1621497151.712
384,41.02,1621497151.723
385,42.45,1621497151.732
386,42.52,1621497151.752
387,42.55,1621497151.772
388,42.57,1621497151.792
389,42.6,1621497151.812
390,42.62,1621497151.832
391,42.67,1621497151.852
392,42.67,1621497151.872
393,42.69,1621497151.892
394,42.71,1621497151.912
395,41.1,1621497151.921
396,42.73,1621497151.932
397,42.76,1621497151.952
398,42.77,1621497151.972
399,42.8,1621497151.992
400,42.98,1621497152.112
401,42.84,1621497152.121
402,43.0,1621497152.132
403,43.04,1621497152.152
404,43.07,1621497152.1729999
405,43.11,1621497152.192
406,43.13,1621497152.212
407,43.14,1621497152.232
408,43.17,1621497152.252
409,43.18,1621497152.272
410,43.2,1621497152.292
411,43.23,1621497152.312
412,42.86,1621497152.328
413,43.26,1621497152.332
414,43.31,1621497152.352
415,43.33,1621497152.373
416,43.35,1621497152.392
417,43.4,1621497152.412
418,43.43,1621497152.432
419,43.46,1621497152.452
420,43.49,1621497152.472
421,43.52,1621497152.492
422,43.57,1621497152.512
423,42.9,1621497152.527
424,43.59,1621497152.532
425,43.6,1621497152.552
426,43.61,1621497152.573
427,43.64,1621497152.592
428,43.67,1621497152.614
429,43.69,1621497152.632
430,43.71,1621497152.652
431,43.74,1621497152.672
432,43.77,1621497152.692
433,43.78,1621497152.712
434,42.93,1621497152.728
435,43.81,1621497152.732
436,43.83,1621497152.752
437,43.88,1621497152.772
438,43.9,1621497152.792
439,43.96,1621497152.812
440,43.99,1621497152.832
441,44.02,1621497152.852
442,44.04,1621497152.872
443,44.08,1621497152.892
444,44.11,1621497152.912
445,42.96,1621497152.92
446,44.14,1621497152.932
447,44.16,1621497152.952
448,44.21,1621497152.972
449,44.21,1621497152.992
450,44.33,1621497153.112
451,44.24,1621497153.1260002
452,44.35,1621497153.132
453,44.39,1621497153.152
454,44.4,1621497153.172
455,44.44,1621497153.192
456,44.45,1621497153.212
457,44.47,1621497153.232
458,44.47,1621497153.252
459,44.54,1621497153.272
460,44.56,1621497153.292
461,44.56,1621497153.312
462,44.25,1621497153.329
463,44.57,1621497153.332
464,44.63,1621497153.352
465,44.61,1621497153.372
466,44.6,1621497153.392
467,44.63,1621497153.412
468,44.65,1621497153.432
469,44.66,1621497153.452
470,44.66,1621497153.472
471,44.66,1621497153.492
472,44.66,1621497153.512
473,44.25,1621497153.527
474,44.68,1621497153.532
475,44.67,1621497153.552
476,44.66,1621497153.572
477,44.68,1621497153.592
478,44.7,1621497153.612
479,44.72,1621497153.632
480,44.7,1621497153.652
481,44.7,1621497153.672
482,44.73,1621497153.692
483,44.73,1621497153.712
484,44.28,1621497153.728
485,44.73,1621497153.732
486,44.71,1621497153.752
487,44.72,1621497153.772
488,44.72,1621497153.792
489,44.73,1621497153.812
490,44.71,1621497153.832
491,44.73,1621497153.852
492,44.74,1621497153.872
493,44.76,1621497153.892
494,44.76,1621497153.912
495,44.28,1621497153.925
496,44.77,1621497153.932
497,44.79,1621497153.952
498,44.79,1621497153.972
499,44.8,1621497153.992
500,44.85,1621497154.112
501,44.81,1621497154.124
502,44.84,1621497154.132
503,44.83,1621497154.152
504,44.81,1621497154.172
505,44.84,1621497154.192
506,44.83,1621497154.212
507,44.81,1621497154.232
508,44.82,1621497154.252
509,44.81,1621497154.272
510,44.82,1621497154.292
